               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.010479,           0.0053992,           0.0010245,             0.99259,             0.99006,             0.99249,             0.93488,            0.005426,           0.0027933,          0.00060908,           0.0079408,           0.0079408,           0.0079408
                 106,            0.010294,           0.0052971,           0.0012272,              0.9923,             0.98959,             0.99323,             0.93714,           0.0054433,           0.0027561,          0.00047421,            0.007921,            0.007921,            0.007921
                 107,            0.010522,           0.0054358,           0.0015177,             0.99393,             0.98975,             0.99251,             0.93595,           0.0054374,           0.0027293,          0.00046621,           0.0079012,           0.0079012,           0.0079012
                 108,            0.010226,            0.005271,          0.00095585,              0.9893,             0.99335,             0.99257,              0.9336,           0.0054438,           0.0027901,          0.00057803,           0.0078814,           0.0078814,           0.0078814
                 109,            0.010283,           0.0052085,           0.0011231,              0.9889,             0.99396,             0.99207,             0.93378,           0.0053222,           0.0028082,          0.00049512,           0.0078616,           0.0078616,           0.0078616
                 110,            0.010232,           0.0053774,          0.00087394,             0.99146,             0.99074,             0.99233,             0.93614,           0.0053499,           0.0028022,          0.00047971,           0.0078418,           0.0078418,           0.0078418
                 111,           0.0099652,           0.0051865,           0.0012194,             0.99094,             0.99228,             0.99287,             0.93725,           0.0052905,            0.002786,          0.00049981,            0.007822,            0.007822,            0.007822
                 112,            0.010674,            0.005296,          0.00098658,             0.99047,              0.9906,             0.99289,             0.93617,           0.0054083,           0.0028141,          0.00063304,           0.0078022,           0.0078022,           0.0078022
                 113,            0.010298,           0.0054089,           0.0011894,              0.9926,             0.99079,             0.98981,             0.93566,           0.0053076,           0.0027911,          0.00047884,           0.0077824,           0.0077824,           0.0077824
                 114,            0.010198,           0.0052055,           0.0011565,             0.99368,              0.9889,             0.99223,             0.93576,           0.0052584,           0.0027541,          0.00058627,           0.0077626,           0.0077626,           0.0077626
                 115,           0.0099324,           0.0051986,          0.00085752,             0.99239,             0.98985,             0.98981,             0.93377,           0.0052794,           0.0027647,          0.00055252,           0.0077428,           0.0077428,           0.0077428
                 116,            0.010071,           0.0051372,           0.0011657,             0.99202,              0.9889,             0.99303,             0.93704,           0.0053019,           0.0028074,          0.00056486,            0.007723,            0.007723,            0.007723
                 117,            0.010209,           0.0052416,           0.0010402,             0.99393,             0.99006,             0.99349,             0.93524,           0.0052817,           0.0028122,          0.00059922,           0.0077032,           0.0077032,           0.0077032
                 118,            0.010163,           0.0053296,            0.000919,             0.99354,             0.98909,             0.99206,              0.9349,            0.005338,           0.0027714,          0.00063244,           0.0076834,           0.0076834,           0.0076834
                 119,            0.010273,           0.0052932,          0.00086974,             0.99376,             0.99121,             0.99308,             0.93716,           0.0053375,           0.0027291,          0.00050005,           0.0076636,           0.0076636,           0.0076636
                 120,            0.010035,            0.005187,           0.0010787,             0.99394,             0.99138,             0.99325,             0.93846,           0.0052461,           0.0026885,          0.00048855,           0.0076438,           0.0076438,           0.0076438
